Sample,Stim,Culture,Donor,Fold exp,CAR,4_8,4_NSCM,4_E,4_CM,4_EM,4_25,4_137,4_+/+,4_+/-,4_-/+,4_-/-,8_NSCM,8_E,8_CM,8_EM,8_25,8_137,8_+/+,8_+/-,8_-/+,8_-/-
0.2,2.4,A,AC7,9.22,78.8,22.35849057,4.27,11.8,51.2,32.7,99.3,38.2,50.2,21.2,18.7,9.85,6,14.2,39.7,40.1,99.3,46.8,50,12.1,32.6,5.25
0.25,3,A,AC7,6.71,85.3,30.44444444,3.52,8.39,56.7,31.4,99.5,45.5,51.2,22.4,17.6,8.77,8.79,17.7,40.8,32.7,99.5,53.6,43.4,8.29,42.2,6.1
0.3,3.6,A,AC7,4.59,88.7,12.58596974,3.43,7.33,54.1,35.2,99.5,44.3,58.8,20.6,13.2,7.4,8.96,15.8,38,37.2,99.7,49.4,58.2,7.33,31.1,3.42
D1:1,0.4,D,AC8,4.79,70.5,0.203282828,14.8,28.7,28.3,28.2,98.8,23.2,75.6,11.8,9.76,2.87,10.9,55.9,5.91,27.3,94.6,16.5,27.1,0.7,71.2,1.04
D3:1,1.2,D,AC8,0.118,68.2,0.124260355,12.2,12.4,28.1,47.3,88.7,60.7,60.4,29.8,2.68,7.14,5.2,21.3,18.4,55.1,97.5,70.3,79.2,5.12,14.4,1.24
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
T1:10,0,T,AC8,0.0935,12.1,0.62585034,43.6,12.2,12.2,32,62.2,17.4,11.6,51.7,1.16,35.5,44.1,20.1,14.4,21.4,80.3,42.8,59,21,3.49,16.6
x,x,T,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
0.02,0.24,A,AC8,4.98,57.3,0.774451098,25.4,11.8,40.9,21.9,89.3,6.03,10.5,26.1,15.3,48.2,34.4,33.7,17.9,14,70.9,16.4,6.98,2.62,72.2,18.2
0.05,0.6,A,AC8,11.625,45.1,0.480769231,19.2,20.5,36.8,23.4,91.6,2.75,16.8,21.9,20,41.3,19.8,54.8,11.2,14.2,75,10.3,8.01,1.09,82.1,8.81
0.1,1.2,A,AC8,18.45,46.4,0.373529412,22.7,24.9,32.3,20.1,92.7,2.15,27.6,22.2,20.8,29.4,19.5,66,6.14,8.42,77.9,4.87,10.7,0.72,85.4,3.13
0.15,1.8,A,AC8,45.45,44.3,0.619377163,13.3,43.1,26.6,17,97.9,3.1,55.3,21.2,13.6,9.94,17.3,68.1,5.76,8.9,92,5.88,18.3,0.71,79.5,1.57
0.2,2.4,A,AC8,52.95,44.9,0.670212766,12.2,44.3,25.1,18.4,98,3.97,58.6,18.9,14.4,8.17,14.1,70.9,4.76,10.2,91.4,6.51,17.6,0.58,80.6,1.21
0.25,3,A,AC8,41.1,48.3,0.921649485,12,37.1,30.1,20.8,98.8,7.12,57.6,21.8,12.3,8.3,14.3,64.5,7.3,13.9,95.7,12,21.7,0.95,75.7,1.61
0.3,3.6,A,AC8,26.1,57.4,0.858546169,13,35.5,28.3,23.1,99,9.78,71.2,15.2,9.07,4.51,13.6,60.9,7.38,18,97,13.5,29.1,0.74,69,1.14
D1:1,0.4,D,AC10,74.75,50.4,0.595394737,27,40.3,17.1,15.6,90.7,2.69,23.4,1.79,66.6,8.18,65.6,26,6.08,2.26,96.1,6.79,4.16,0.28,92.7,2.82
D3:1,1.2,D,AC10,8.25,76.4,0.321377331,16.6,6.81,59.6,17,98.8,23.4,66.1,20.8,10.7,2.41,53.1,9.7,27.9,9.3,99.6,47.7,38.6,4.24,53.7,3.52
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
T1:5,0,T,AC10,2.65,22.6,0.344733242,33.3,3.85,51.1,11.7,96.2,2.52,56.9,19.2,17.3,6.69,29,23,25.9,22.1,89.9,2.16,28.6,1.02,68.9,1.42
T1:10,0,T,AC10,0.555,19.3,0.326359833,53.4,2.37,33,11.1,96.6,2.97,36.3,47,3.6,13.1,28.9,10.6,29.5,31,92.7,5.51,61.9,7.66,25.9,4.54
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
0.02,0.24,A,AC10,84,18.2,1.4004914,36.3,35.7,6.9,21.1,65,0.95,19.4,5.46,45.6,29.5,23.4,65.7,2.54,8.38,46.4,2.13,9.54,0.43,85.5,4.54
0.05,0.6,A,AC10,100.5,15.6,0.882917466,46.4,34.5,6.19,12.9,73.9,0.96,20.4,4.41,53.9,21.4,27.6,65,1.93,5.43,49.7,1.64,5.89,0.2,92,1.91
0.1,1.2,A,AC10,190.5,18.5,0.871455577,35,50.4,5.39,9.22,86.5,0.56,20,2.45,63.8,13.7,21.1,70.6,2.73,5.58,73.8,1.18,3.28,0.11,95.8,0.85
0.15,1.8,A,AC10,175,16.9,3.433035714,26.1,57.5,9.67,6.8,97.1,1.16,17.2,1.55,76.1,5.18,50.2,38.5,7.18,4.08,96.5,4.68,5.91,0.17,93.2,0.75
0.2,2.4,A,AC10,169.75,18.8,3.848780488,26.9,52.3,12.3,8.44,98.2,1.76,27.1,1.89,67.5,3.56,50,37,7.49,5.52,98,7.25,9.68,0.21,89.4,0.73
0.25,3,A,AC10,74.75,20.5,5.155279503,31.7,35.6,23.3,9.27,99.4,4.43,41.2,4.21,51.9,2.71,60.2,21.9,12.1,5.76,99.4,25.2,18.7,0.52,79.6,1.17
0.3,3.6,A,AC10,76.5,27.1,2.198051948,29.3,33.8,24.8,12.1,99.4,3.74,49.4,3.27,45.1,2.25,50.4,30.7,11.2,7.71,99.5,18.6,22.7,0.45,76.1,0.8
