Sample,Stim,Culture,Donor,Fold exp,CAR,4_8,4_NSCM,4_E,4_CM,4_EM,4_25,4_137,4_+/+,4_+/-,4_-/+,4_-/-,8_NSCM,8_E,8_CM,8_EM,8_25,8_137,8_+/+,8_+/-,8_-/+,8_-/-
0.02,0.24,A,HD6,215,22.9,3.136929461,26.5,33.4,15.3,24.8,95.1,0.65,29.2,5.73,48.2,16.8,41.9,30.9,11.8,15.4,95.3,1.47,23.7,1.57,68.2,6.53
0.05,0.6,A,HD6,343.3333333,33.3,2.662962963,24.8,46.7,12.1,16.4,84.7,1.28,23.3,5.84,47,23.8,32,53.1,6.93,8,89.5,3.22,17.6,1.93,72.3,8.16
0.1,1.2,A,HD6,396.6666667,31.9,2.427046263,30.9,37.9,17.2,14,95.9,1.37,40.9,5.18,43,10.9,51.4,30.9,9.85,7.79,98.3,4.15,37.3,1.97,57.2,3.61
0.15,1.8,A,HD6,406,31.4,3.878787879,36.3,26.8,23.8,13.1,99.1,2.07,57.4,5.95,29.9,6.71,47.7,29,12.5,10.7,99.4,6.93,50.1,2.18,44.7,3
0.2,2.4,A,HD6,401.2,30.4,5.64,33.7,24.3,27.8,14.2,99.3,2.63,59.5,6.43,28,6.08,44.6,28.2,14.7,12.4,99.5,7.89,46.6,2.43,47.5,3.47
0.25,3,A,HD6,401.8,27.8,5.775510204,30.6,18.7,34.5,16.2,99.7,2.92,67.1,7.72,20.4,4.7,39.7,26.2,18.1,16,99.7,8.99,54.5,2.68,40.3,2.58
0.3,3.6,A,HD6,343.3333333,26.3,6.595419847,29.5,20.9,32.5,17.2,99.7,2.63,69.3,7.76,18.2,4.78,34.1,31.3,16.6,18,99.6,8.54,59,3.23,34.9,2.9
D1:1,0.4,D,HD7,131,50.8,5.25974026,9.1,7.43,65.6,17.9,98.9,8.61,29.1,21.5,30.8,18.6,30.5,13.1,37.9,18.5,98.8,28.3,8.19,3.12,73,15.7
D3:1,1.2,D,HD7,98,64.4,5.496688742,5.76,5.67,64.7,23.9,99.4,15.7,35.5,25.4,24.8,14.3,21,11.3,43.4,24.3,99.9,39.8,13.5,3.79,69.3,13.4
D5:1,2,D,HD7,81.5,53.8,6.6015625,3.94,5.35,58.5,32.2,99.4,19.4,51.4,19.6,21.8,7.22,13.3,7.58,50.5,28.6,99.8,45.6,28.2,4.71,59.1,7.99
T1:5,0,T,HD7,38,44.3,7.846846847,2.32,8.3,35.3,54,85.2,1.81,19,22.7,25.6,32.8,5.79,18.5,28.8,46.8,88,5.84,7.99,3.12,60.3,28.6
T1:10,0,T,HD7,44,39.2,4.857142857,1.49,6.81,29.6,62.1,76,1.31,16.2,23.3,23.2,37.2,4,17.4,27.9,50.8,80,4.84,6.64,4.37,51.5,37.5
T1:20,0,T,HD7,97,29.4,4.423076923,0.78,8.85,13.8,76.5,50.3,0.95,15.4,22.3,21.5,40.8,1.63,18.3,17.2,62.8,58.7,1.77,6.13,4.48,40.2,49.2
0.02,0.24,A,HD7,56.33333333,56.9,4.369565217,3.33,9.35,38.1,49.2,83,3.04,25,35.1,15.1,24.7,9.35,17.8,35.9,36.9,83.7,9.64,13.4,9.97,47.8,28.8
0.05,0.6,A,HD7,77,56,4.52247191,5.75,11.9,41,41.3,91.6,2.58,26,27.7,22.4,23.9,14.6,21.3,34.1,29.9,92.3,13.8,12.3,6.41,57.1,24.2
0.1,1.2,A,HD7,105.3333333,55.7,4.794117647,7.52,7.31,62.5,22.6,98.6,6,30.6,32.3,18.6,18.5,16.2,10.2,49.9,23.7,97.8,27.6,19.8,7.94,52.3,20
0.15,1.8,A,HD7,138,58.2,5.329032258,6.22,5.28,67.5,21,99.4,9.31,31.7,32.3,17.1,18.9,12.5,9.6,49.6,28.4,98,34.3,21.8,6.7,50.9,20.6
0.2,2.4,A,HD7,179.3333333,58.7,5.467105263,5.58,5.27,65.9,23.2,99.5,9.37,34.3,31.3,16.5,17.8,11.4,10.9,45.1,32.6,98.2,34.1,21.9,7.07,52.8,18.2
0.25,3,A,HD7,104.3333333,56.1,5.043209877,4.93,4.65,69.8,20.7,99.6,12.6,40.3,29.2,15.6,14.9,10.6,11.4,42.7,35.3,98.9,36.8,30.1,6.33,51.2,12.3
0.3,3.6,A,HD7,85.66666667,57,5.38961039,4.35,4.02,67.4,24.2,99.4,10.8,36.7,32.3,14.3,16.7,8.57,9.67,45.5,36.2,99.1,36.7,29.3,7.31,46.9,16.5
D1:1,0.4,D,HD8,254.3333333,42.7,6.210526316,4.91,21.2,25,48.9,93.1,2.46,32.5,11.3,41.6,14.5,12.9,33.3,18.8,35,91.3,7.8,13.2,4.03,70.5,12.2
D3:1,1.2,D,HD8,313,45.6,5.407894737,7.3,12.5,42.6,37.6,99.2,5.25,45.2,12.1,34.5,8.15,14.2,23.5,24.4,37.9,98.3,14.3,18.2,3.06,71.4,7.4
D5:1,2,D,HD8,171,37.3,5.119496855,5.38,11.2,45.4,38,99.3,10.3,54.7,8.23,33.6,3.5,12.2,19.3,26.9,41.7,97.9,20.6,25.3,1.95,68.4,4.42
T1:5,0,T,HD8,212.6666667,28.1,5.867132867,2.28,13,18.5,66.2,78.9,0.67,26.7,17,28,28.4,3.22,26.1,11,59.7,76,1.52,16.3,4.68,55.5,23.5
T1:10,0,T,HD8,195,28.6,4.17989418,2.6,12.5,20.1,64.8,75.1,0.69,24,15.9,28.4,31.7,2.55,24.8,10.7,62,72,1.3,17.1,5.22,52.3,25.4
T1:20,0,T,HD8,193.5,19,4.268817204,1.47,8.53,16.5,73.5,70.7,0.55,22.2,16.8,30.4,30.7,1.39,18.7,6.06,73.9,58.2,0.84,12.7,4.6,54.6,28.1
0.02,0.24,A,HD8,147.6666667,49.1,3.639810427,7.25,19.7,26.7,46.3,84.9,3.27,36,19.6,25.3,19.1,8.44,27.4,21.1,43.1,79.5,5.79,26.9,9.35,49.8,14
0.05,0.6,A,HD8,171,47.9,3.180995475,8.5,19.6,25.6,46.2,92,2.2,33.9,16.7,29.9,19.5,13.2,27.9,21.8,37.1,91.8,7.1,23,6.13,56.3,14.5
0.1,1.2,A,HD8,277.6666667,43.2,4.015544041,10.1,14.6,33.8,41.4,97.1,2.49,42.8,16.3,26.4,14.6,15.5,16.9,27.1,40.4,96.3,9.91,32,5.77,52.3,9.92
0.15,1.8,A,HD8,280.8466667,42.1,5.594594595,12.5,8.06,49.4,30.1,99.2,4.71,54.5,16.9,19.1,9.49,13.5,11.5,34.2,40.8,98.1,17.5,40.3,5.26,47.5,6.93
0.2,2.4,A,HD8,302.6666667,41.7,6.01459854,13.3,7.52,49.4,29.7,99.5,5.15,59.3,16.3,16.6,7.84,13.9,13,29.7,43.4,98.6,17.6,43.2,5.23,45.5,6.1
0.25,3,A,HD8,300.3333333,38.9,5.957142857,12.8,6.3,53.4,27.5,99.6,5.94,64.3,14.4,15.1,6.17,12.3,13.5,29.9,44.3,98.8,20.1,44.7,4.13,46.4,4.71
0.3,3.6,A,HD8,292.3333333,37.8,6.028776978,10.7,6,54.2,29.1,99.6,5.06,61.5,17.2,14,7.33,9.98,12.2,29.1,48.7,98.8,19.6,45.6,5.75,42.7,5.97
D1:1,0.4,D,AC1,65,17.3,0.99185336,14.9,50.3,14.1,20.7,95.4,5.09,51.8,1.85,44.4,1.92,30.7,57.5,4.81,7,91.2,8.59,8.36,0.19,90.6,0.86
D3:1,1.2,D,AC1,60,15.1,1.381418093,11.5,40.9,15.9,31.8,96.4,9.01,61.6,1.83,35.2,1.37,26.6,49.5,8.06,15.9,90.1,19,14.1,0.43,83.8,1.66
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
T1:10,0,T,AC1,50.5,7.21,1.672131148,12.6,62,9.42,16,85.9,1.42,46.1,7,35.7,11.2,14.7,72.2,4.9,8.23,82.5,2.04,16.9,0.69,79.2,3.26
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
0.02,0.24,A,AC1,31.4,25.4,1.819484241,24.4,47.8,12.7,15.1,83.7,2.41,17.5,7.56,47.5,27.5,22.7,64.5,6.99,5.84,66.7,2.73,3.29,0.7,89.6,6.45
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
0.1,1.2,A,AC1,41.25,15.8,3.506849315,14.8,36,26.1,23,95.1,2.67,51.2,7.45,34.5,6.77,30.6,44.6,11,13.7,91.1,4.73,15.2,0.55,82.4,1.84
0.15,1.8,A,AC1,57,15.6,2.908730159,18.4,37.4,23.8,20.4,96.1,3.51,65.8,5.49,25.9,2.78,34.9,44.2,9.07,11.9,94.2,8.1,30.3,0.68,67.9,1.11
0.2,2.4,A,AC1,47.25,16.9,3.632075472,16.7,25.3,33.1,24.9,97.9,6.94,74,5.85,18.3,1.87,32.7,34.4,15.8,17.1,95.1,15.5,37.9,0.8,60.2,1.17
0.25,3,A,AC1,48.25,18.1,4.730994152,16,21.8,35,27.3,99,9.32,72.6,8.76,16.6,2.04,32.2,35.4,14.4,17.9,98.1,21.9,44.6,1.24,53.2,0.98
0.3,3.6,A,AC1,30.6,17.5,4.444444444,11.7,17.7,34.2,36.4,99.4,15.8,81.4,8.04,9.31,1.22,26.1,32,14.7,27.2,99.3,37,60.1,1.18,38,0.67
D1:1,0.4,D,AC2,164,53,1.848664688,8.33,17.5,30.2,43.9,96.4,5.39,24.4,8.67,45.3,21.7,10.1,18.7,30.2,41,98.3,29.3,8.29,0.97,75.6,15.1
D3:1,1.2,D,AC2,140,69.3,2.970954357,11.5,13.1,47.7,27.6,99.6,20,36.9,9.72,41.8,11.5,15.8,15.9,34.5,33.8,99.8,45.7,13.6,1.08,77,8.29
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
x,x,x,x,x,x,#DIV/0!,,,,,,,,,,,,,,,,,,,,
T1:10,0,T,AC2,105.5,37.7,1.066810345,3.99,27.1,15.4,53.6,70.7,3.12,22.4,8.87,39.3,29.4,4.4,29.8,16.2,49.6,78,14.6,7.74,0.98,69.2,22.1
T1:20,0,T,AC2,50,31.1,0.808270677,3.76,25.5,13.7,57.1,62.5,2.74,20.7,10.1,37.7,31.5,3.86,30.4,13.1,52.7,68.8,12.4,8.15,1.02,68.2,22.6
0.02,0.24,A,AC2,44,33.4,0.644444444,6.07,20.8,24.3,48.8,84.5,3.23,15.7,10.1,36.9,37.3,6.05,20.5,30.9,42.5,92.6,21.4,5.63,1.78,56.1,36.5
0.05,0.6,A,AC2,126,36.2,1.016736402,6.77,18.6,28.4,46.2,90.2,2.87,16.9,10.8,37.9,34.4,6.59,17.4,33.1,42.8,95.9,25.7,7.07,1.65,64.2,27.1
0.1,1.2,A,AC2,148.5,39,1.117256637,9.41,16.6,32.3,41.7,95.8,2.8,24,9.31,40.8,25.9,7.85,13,37.9,41.3,98.7,32.1,9.81,1.74,69,19.4
0.15,1.8,A,AC2,151.2,45.3,1.711048159,13.2,13.3,45.8,27.6,98.9,6.67,33.2,13,33.8,20,11.4,11.1,46.5,31,99.8,53.8,15.4,2.21,68.6,13.8
0.2,2.4,A,AC2,113.22,48,2.182724252,12.4,10.6,55.1,22,99.4,11.5,34.1,17.6,27.7,20.5,11.1,8.31,53.4,27.1,99.8,67.6,17.5,2.92,65.1,14.4
0.25,3,A,AC2,112.7,49.6,2.309027778,11,8.68,59.3,21.1,99.8,14.7,34,23,21.9,21,9.19,7.61,52.4,30.8,99.9,71.4,19.3,3.5,62.2,15
0.3,3.6,A,AC2,77,51.3,2.673076923,8.6,6.57,63.4,21.4,99.8,21.9,36.2,23.4,19.9,20.4,7.58,5.63,57.9,28.9,99.8,77.9,21,4,61.2,13.8
D1:1,0.4,D,AC3,201.5,35.3,1.978193146,12.4,13.9,50.3,23.4,98.7,10.3,33.4,22.6,24.9,19.1,26.6,12.7,44.8,15.9,99.5,44.4,13.6,3.8,64.1,18.5
